Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY
20171001HOU,2017-10-01 13:00:00,HOU,TEN,43,14.333333333333336,8.833333333333334,10.5,10.0,0.0,0.8333333333333335,0.0,0.5000000000000001,115.16666666666667,83.33333333333334,16.666666666666668,15.5,0.16666666666666669,0.5,0.33333333333333337,2.5000000000000004,0.8333333333333334,15.000000000000004,15.333333333333332,15.0,78.16666666666667,64.33333333333334
20171001NWE,2017-10-01 13:00:00,NWE,CAR,-3,7.5,16.5,9.5,12.500000000000002,0.6666666666666667,0.8333333333333333,0.16666666666666669,0.16666666666666666,84.16666666666669,170.00000000000003,15.0,18.333333333333332,0.6666666666666667,0.0,1.666666666666667,1.6666666666666665,13.0,12.0,14.666666666666668,14.333333333333332,54.16666666666667,50.33333333333333
20171001ARI,2017-10-01 16:05:00,ARI,SFO,3,8.5,9.333333333333334,8.166666666666668,10.500000000000002,0.33333333333333337,0.5000000000000001,0.33333333333333337,0.16666666666666669,93.83333333333333,142.0,16.5,22.0,0.5,0.6666666666666667,1.666666666666667,1.8333333333333335,10.166666666666668,12.166666666666668,11.166666666666668,10.666666666666668,53.83333333333333,29.5
20171001MIA,2017-10-01 09:30:00,MIA,NOR,-20,12.166666666666668,5.0,10.0,7.4,0.16666666666666669,0.2,0.0,0.0,140.83333333333334,84.0,18.5,15.8,0.0,0.4,0.5,1.0,3.6666666666666665,6.0,10.833333333333334,9.4,48.33333333333333,28.200000000000003
20171002KAN,2017-10-02 20:30:00,KAN,WAS,9,11.833333333333334,15.500000000000002,9.166666666666668,9.666666666666668,1.3333333333333335,0.6666666666666667,0.8333333333333335,0.16666666666666669,118.66666666666666,117.66666666666667,16.166666666666668,14.000000000000002,0.16666666666666669,0.0,1.166666666666667,2.0,12.000000000000002,11.333333333333334,15.0,11.833333333333334,68.16666666666667,81.0
20171005TAM,2017-10-05 20:25:00,TAM,NWE,-5,18.42857142857143,11.833333333333334,14.142857142857146,10.333333333333334,0.7142857142857143,0.6666666666666667,0.14285714285714285,0.16666666666666669,187.5714285714286,138.83333333333331,22.142857142857142,18.166666666666668,0.0,0.5000000000000001,1.8571428571428572,0.8333333333333334,12.285714285714286,5.166666666666667,15.0,11.0,54.57142857142857,42.333333333333336
20171008MIA,2017-10-08 13:00:00,MIA,TEN,6,14.285714285714288,4.166666666666667,10.285714285714285,8.0,0.14285714285714285,0.5,0.14285714285714285,0.0,114.28571428571429,91.33333333333333,17.142857142857146,17.833333333333336,0.7142857142857143,0.5,0.5714285714285714,1.5,1.8571428571428572,11.0,15.857142857142856,10.333333333333334,79.2857142857143,33.16666666666667
20171008HOU,2017-10-08 20:30:00,HOU,KAN,-8,17.42857142857143,15.714285714285715,12.428571428571429,13.285714285714288,0.8571428571428572,0.7142857142857144,0.14285714285714288,0.4285714285714287,138.14285714285717,110.2857142857143,17.28571428571429,18.142857142857142,0.0,0.5714285714285714,2.2857142857142856,2.428571428571429,14.285714285714286,14.428571428571432,14.571428571428573,18.857142857142858,93.42857142857143,79.85714285714286
20171008DET,2017-10-08 13:00:00,DET,CAR,-3,11.142857142857142,14.142857142857144,12.142857142857144,10.142857142857144,0.7142857142857144,0.4285714285714286,0.2857142857142857,0.14285714285714288,115.57142857142858,115.85714285714286,17.0,19.714285714285715,0.7142857142857144,0.14285714285714288,1.7142857142857144,1.7142857142857144,12.857142857142858,10.857142857142858,16.714285714285715,15.571428571428573,66.42857142857144,55.42857142857143
20171008OAK,2017-10-08 16:05:00,OAK,BAL,-13,8.571428571428573,13.000000000000002,10.142857142857146,8.714285714285715,0.8571428571428572,0.7142857142857144,0.4285714285714286,0.14285714285714285,81.42857142857143,115.14285714285714,18.142857142857146,18.0,0.8571428571428572,0.42857142857142855,1.2857142857142858,1.2857142857142858,9.571428571428573,7.571428571428571,16.28571428571429,12.0,72.71428571428572,49.28571428571429
20171008IND,2017-10-08 13:00:00,IND,SFO,3,9.428571428571429,10.142857142857142,9.857142857142858,8.571428571428573,0.4285714285714286,1.285714285714286,0.28571428571428575,0.4285714285714286,110.42857142857143,103.14285714285715,21.142857142857146,15.857142857142858,0.5714285714285714,0.5714285714285716,1.8571428571428574,2.0,12.142857142857144,12.714285714285715,13.42857142857143,16.28571428571429,59.71428571428571,48.714285714285715
20171008CIN,2017-10-08 13:00:00,CIN,BUF,4,10.42857142857143,9.142857142857142,9.142857142857144,10.285714285714288,0.4285714285714286,0.8571428571428572,0.0,0.5714285714285714,98.00000000000001,116.00000000000003,14.142857142857146,17.571428571428573,0.14285714285714288,0.5714285714285715,1.7142857142857144,2.0,8.285714285714286,11.428571428571429,19.142857142857146,15.142857142857146,64.42857142857143,50.714285714285715
20171008LAR,2017-10-08 16:05:00,LAR,SEA,-6,13.428571428571429,20.28571428571429,11.285714285714286,11.857142857142858,0.8571428571428572,1.2857142857142858,0.14285714285714288,0.5714285714285715,137.57142857142858,154.42857142857144,20.142857142857146,17.0,0.2857142857142857,0.14285714285714288,1.4285714285714288,0.5714285714285716,8.714285714285715,4.428571428571429,15.714285714285715,16.857142857142858,69.14285714285714,64.85714285714286
20171008DAL,2017-10-08 16:25:00,DAL,GNB,-4,14.571428571428573,13.42857142857143,12.714285714285715,10.714285714285715,0.28571428571428575,0.14285714285714285,0.14285714285714288,0.14285714285714285,149.00000000000003,130.85714285714286,23.0,20.42857142857143,0.4285714285714286,0.4285714285714286,2.1428571428571432,0.8571428571428572,14.714285714285715,3.5714285714285716,12.000000000000002,14.0,42.57142857142857,65.28571428571428
