Date,abbrev,abbrev,offense_score,defense_score,quarter,time,down,goal_distance,down_distance,yards_gained,game_id,play_type,no_play,runner,receiver,sacked_qb,passer,penalty,home_on_offense,fumbled,intercepted
12/17/2017,ARI,WAS,6,14,2,5:26:00,1,80,10,7,201712170was,run,0,NelsJJ00,,,,,0,0,0
12/17/2017,ARI,WAS,6,14,2,4:49:00,2,73,3,6,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,6,14,2,4:11:00,1,67,10,46,201712170was,pass,0,,NelsJJ00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,3:24:00,1,21,10,3,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,6,14,2,2:41:00,2,18,7,0,201712170was,pass,0,,HolmGa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,2:36:00,3,18,7,9,201712170was,pass,0,,BrowJa03,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,2:01:00,1,9,9,0,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,1
12/17/2017,ARI,WAS,6,14,2,1:39:00,1,33,10,4,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,6,14,2,1:02:00,2,29,6,0,201712170was,pass,0,,PennEl00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:57:00,3,34,11,10,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:52:00,4,24,1,2,201712170was,run,0,GabbBl00,,,,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:35:00,1,22,10,0,201712170was,pass,0,,BrowJa03,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:30:00,2,22,10,21,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:10:00,2,1,1,0,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,6,14,2,0:07:00,3,1,1,0,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,9,14,3,14:59:00,1,22,10,6,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,9,14,3,14:25:00,2,16,4,0,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,9,14,3,13:45:00,3,16,4,0,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,14,3,12:01:00,1,69,10,0,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,14,3,11:54:00,2,69,10,7,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,14,3,11:10:00,3,62,3,2,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,17,3,4:23:00,1,75,10,1,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,3,3:45:00,2,74,9,0,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,17,3,3:38:00,3,74,9,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,17,4,14:50:00,1,61,10,6,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,4,14:14:00,2,55,4,14,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,4,13:36:00,1,41,10,0,201712170was,pass,0,,NelsJJ00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,17,4,13:30:00,2,41,10,5,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,4,12:47:00,3,36,5,0,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,12,17,4,12:37:00,1,21,10,7,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,4,12:03:00,2,14,3,0,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,12,17,4,11:21:00,3,14,3,0,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,17,4,9:21:00,1,84,10,-4,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,15,17,4,8:37:00,2,88,14,-5,201712170was,sack,0,,,GabbBl00,,,0,0,0
12/17/2017,ARI,WAS,15,17,4,8:05:00,3,93,19,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,4:23:00,1,65,10,25,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,3:49:00,1,40,10,5,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,15,20,4,3:15:00,2,35,5,0,201712170was,pass,0,,NelsJJ00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,3:10:00,3,35,5,-10,201712170was,sack,0,,,GabbBl00,,,0,0,0
12/17/2017,ARI,WAS,15,20,4,1:59:00,1,52,10,3,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,1:41:00,2,49,7,8,201712170was,run,0,GabbBl00,,,,,0,0,0
12/17/2017,ARI,WAS,15,20,4,1:03:00,1,46,15,6,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:58:00,2,40,9,6,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:40:00,3,34,3,0,201712170was,pass,1,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:37:00,1,21,10,0,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:32:00,2,21,10,0,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:28:00,3,21,10,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,15,20,4,0:23:00,4,21,10,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
10/8/2017,ARI,PHI,0,0,1,14:54:00,1,82,10,1,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,0,0,1,14:19:00,2,81,9,0,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,0,1,14:15:00,3,81,9,0,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,7,1,8:13:00,1,79,10,0,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,7,1,8:09:00,2,79,10,14,201710080phi,run,0,NelsJJ00,,,,,0,0,0
10/8/2017,ARI,PHI,0,7,1,7:31:00,1,65,10,1,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,0,7,1,6:54:00,2,64,9,-7,201710080phi,sack,0,,,PalmCa00,,,0,0,0
10/8/2017,ARI,PHI,0,7,1,6:14:00,3,71,16,6,201710080phi,pass,0,,PennEl00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,14,1,3:45:00,1,78,10,-3,201710080phi,run,0,WillKe05,,,,,0,0,0
10/8/2017,ARI,PHI,0,14,1,3:11:00,2,81,13,0,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,14,1,3:05:00,3,81,13,5,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,1,0:43:00,1,75,10,2,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,0,21,1,0:23:00,1,58,10,0,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,1,0:16:00,2,58,10,2,201710080phi,pass,0,,GresJe00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,2,15:00:00,3,56,8,20,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,2,14:35:00,1,36,10,9,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,0,21,2,13:56:00,2,27,1,0,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,2,13:53:00,3,27,1,13,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,0,21,2,13:13:00,1,14,10,1,201710080phi,run,0,WillKe05,,,,,0,0,0
10/8/2017,ARI,PHI,0,21,2,12:33:00,2,13,9,0,201710080phi,run,0,WillKe05,,,,,0,0,0
10/8/2017,ARI,PHI,6,21,2,11:47:00,3,13,9,13,201710080phi,pass,0,,BrowJo02,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,9:04:00,1,90,10,8,201710080phi,pass,0,,JohnCh04,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,8:38:00,1,67,10,0,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,7,21,2,8:06:00,2,67,10,-8,201710080phi,sack,0,,,PalmCa00,,,0,0,0
10/8/2017,ARI,PHI,7,21,2,7:25:00,3,75,18,9,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,4:48:00,1,77,10,1,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,7,21,2,4:13:00,2,76,9,6,201710080phi,run,0,JohnCh04,,,,,0,0,0
10/8/2017,ARI,PHI,7,21,2,3:35:00,3,70,3,0,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,0:40:00,1,80,10,13,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,0:32:00,1,67,10,0,201710080phi,pass,0,,BrowJa03,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,0:26:00,2,67,10,15,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,21,2,0:21:00,1,52,10,19,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,24,3,9:14:00,1,87,10,-2,201710080phi,run,0,ElliAn00,,,,,0,0,0
10/8/2017,ARI,PHI,7,24,3,8:38:00,2,89,12,-3,201710080phi,pass,0,,FitzLa00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,24,3,7:56:00,3,92,15,9,201710080phi,pass,0,,ElliAn00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,6:16:00,1,75,10,15,201710080phi,pass,0,,NelsJJ00,,PalmCa00,,0,0,0
10/8/2017,ARI,PHI,7,31,3,5:48:00,1,60,10,2,201710080phi,run,0,JohnCh04,,,,,0,0,0
